Method,SeqLen,DupRate,InputType,Error
wqfm2020,25,1,Psize 10000000,0.01030927835
wqfm2020,25,1,Psize 10000000,0.03092783505
wqfm2020,25,1,Psize 10000000,0.0206185567
wqfm2020,25,1,Psize 10000000,0.0206185567
wqfm2020,25,1,Psize 10000000,0.0206185567
wqfm2020,25,1,Psize 10000000,0.0206185567
wqfm2020,25,1,Psize 10000000,0.0206185567
wqfm2020,25,1,Psize 10000000,0.0412371134
wqfm2020,25,1,Psize 10000000,0.0206185567
wqfm2020,25,1,Psize 10000000,0.03092783505
wqfm2020,25,1,Psize 10000000,0.02371134021
wqfm2020,25,1,Psize 50000000,0.03092783505
wqfm2020,25,1,Psize 50000000,0.05154639175
wqfm2020,25,1,Psize 50000000,0.03092783505
wqfm2020,25,1,Psize 50000000,0.03092783505
wqfm2020,25,1,Psize 50000000,0.0206185567
wqfm2020,25,1,Psize 50000000,0.0412371134
wqfm2020,25,1,Psize 50000000,0.03092783505
wqfm2020,25,1,Psize 50000000,0.03092783505
wqfm2020,25,1,Psize 50000000,0.0618556701
wqfm2020,25,1,Psize 50000000,0.03092783505
wqfm2020,25,1,Psize 50000000,0.03608247423
wqfm2020,25,2,Psize 10000000,0.03092783505
wqfm2020,25,2,Psize 10000000,0.03092783505
wqfm2020,25,2,Psize 10000000,0.01030927835
wqfm2020,25,2,Psize 10000000,0.0618556701
wqfm2020,25,2,Psize 10000000,0.03092783505
wqfm2020,25,2,Psize 10000000,0.03092783505
wqfm2020,25,2,Psize 10000000,0.0412371134
wqfm2020,25,2,Psize 10000000,0.0412371134
wqfm2020,25,2,Psize 10000000,0.05154639175
wqfm2020,25,2,Psize 10000000,0.0
wqfm2020,25,2,Psize 10000000,0.03298969072
wqfm2020,25,2,Psize 50000000,0.05154639175
wqfm2020,25,2,Psize 50000000,0.05154639175
wqfm2020,25,2,Psize 50000000,0.01030927835
wqfm2020,25,2,Psize 50000000,0.0206185567
wqfm2020,25,2,Psize 50000000,0.0618556701
wqfm2020,25,2,Psize 50000000,0.03092783505
wqfm2020,25,2,Psize 50000000,0.0206185567
wqfm2020,25,2,Psize 50000000,0.07216494845
wqfm2020,25,2,Psize 50000000,0.07216494845
wqfm2020,25,2,Psize 50000000,0.01030927835
wqfm2020,25,2,Psize 50000000,0.04020618557
wqfm2020,25,5,Psize 10000000,0.0412371134
wqfm2020,25,5,Psize 10000000,0.03092783505
wqfm2020,25,5,Psize 10000000,0.0824742268
wqfm2020,25,5,Psize 10000000,0.0412371134
wqfm2020,25,5,Psize 10000000,0.0
wqfm2020,25,5,Psize 10000000,0.0206185567
wqfm2020,25,5,Psize 10000000,0.03092783505
wqfm2020,25,5,Psize 10000000,0.05154639175
wqfm2020,25,5,Psize 10000000,0.0206185567
wqfm2020,25,5,Psize 10000000,0.0618556701
wqfm2020,25,5,Psize 10000000,0.0381443299
wqfm2020,25,5,Psize 50000000,0.0412371134
wqfm2020,25,5,Psize 50000000,0.07216494845
wqfm2020,25,5,Psize 50000000,0.1134020619
wqfm2020,25,5,Psize 50000000,0.05154639175
wqfm2020,25,5,Psize 50000000,0.01030927835
wqfm2020,25,5,Psize 50000000,0.0412371134
wqfm2020,25,5,Psize 50000000,0.0412371134
