"Method","DupRate","LossRate","InputType","Replicate","Error"
"MulRF","0",0,"Input: Est. (100bp)",1,0.123006201609969
"DupTree","0",0,"Input: Est. (100bp)",1,0.093956798943691
"A-Pro","0",0,"Input: Est. (100bp)",1,0.0307516260351986
"MulRF","0.2",0,"Input: Est. (100bp)",1,0.170641392320395
"DupTree","0.2",0,"Input: Est. (100bp)",1,0.0952386776451021
"A-Pro","0.2",0,"Input: Est. (100bp)",1,0.0241493662912399
"MulRF","1",0,"Input: Est. (100bp)",1,0.14224843904376
"DupTree","1",0,"Input: Est. (100bp)",1,0.0629914162564091
"A-Pro","1",0,"Input: Est. (100bp)",1,0.0598738022428006
"MulRF","2",0,"Input: Est. (100bp)",1,0.136529178824276
"DupTree","2",0,"Input: Est. (100bp)",1,0.0947883670800366
"A-Pro","2",0,"Input: Est. (100bp)",1,0.0414811832178384
"MulRF","5",0,"Input: Est. (100bp)",1,0.154205650836229
"DupTree","5",0,"Input: Est. (100bp)",1,0.0804380510817282
"A-Pro","5",0,"Input: Est. (100bp)",1,0.0244492365326732
"MulRF","0",0.1,"Input: Est. (100bp)",1,0.171985997632146
"DupTree","0",0.1,"Input: Est. (100bp)",1,0.0877797088469379
"A-Pro","0",0.1,"Input: Est. (100bp)",1,0.0557541397958994
"MulRF","0.2",0.1,"Input: Est. (100bp)",1,0.126233657542616
"DupTree","0.2",0.1,"Input: Est. (100bp)",1,0.0538362185587175
"A-Pro","0.2",0.1,"Input: Est. (100bp)",1,0.028261731993407
"MulRF","1",0.1,"Input: Est. (100bp)",1,0.155424272492528
"DupTree","1",0.1,"Input: Est. (100bp)",1,0.0728243740042672
"A-Pro","1",0.1,"Input: Est. (100bp)",1,0.0360267421137542
"MulRF","2",0.1,"Input: Est. (100bp)",1,0.152456463929266
"DupTree","2",0.1,"Input: Est. (100bp)",1,0.0508782090386376
"A-Pro","2",0.1,"Input: Est. (100bp)",1,0.0529813172668219
"MulRF","5",0.1,"Input: Est. (100bp)",1,0.147531361635774
"DupTree","5",0.1,"Input: Est. (100bp)",1,0.0951152422116138
"A-Pro","5",0.1,"Input: Est. (100bp)",1,0.0293251968175173
"MulRF","0",0.5,"Input: Est. (100bp)",1,0.177041938602924
"DupTree","0",0.5,"Input: Est. (100bp)",1,0.08070262465626
"A-Pro","0",0.5,"Input: Est. (100bp)",1,0.0219775037001818
"MulRF","0.2",0.5,"Input: Est. (100bp)",1,0.163637393414974
"DupTree","0.2",0.5,"Input: Est. (100bp)",1,0.072890430141706
"A-Pro","0.2",0.5,"Input: Est. (100bp)",1,0.0321738446876407
"MulRF","1",0.5,"Input: Est. (100bp)",1,0.160676763001829
"DupTree","1",0.5,"Input: Est. (100bp)",1,0.0862981139565818
"A-Pro","1",0.5,"Input: Est. (100bp)",1,0.0491748233325779
"MulRF","2",0.5,"Input: Est. (100bp)",1,0.118530062828213
"DupTree","2",0.5,"Input: Est. (100bp)",1,0.0863965839729644
"A-Pro","2",0.5,"Input: Est. (100bp)",1,0.0484243927989155
"MulRF","5",0.5,"Input: Est. (100bp)",1,0.133097946103662
"DupTree","5",0.5,"Input: Est. (100bp)",1,0.0612655629985966
"A-Pro","5",0.5,"Input: Est. (100bp)",1,0.0511764328274876
"MulRF","0",1,"Input: Est. (100bp)",1,0.111104485075921
"DupTree","0",1,"Input: Est. (100bp)",1,0.0595350150601007
"A-Pro","0",1,"Input: Est. (100bp)",1,0.0290287380758673
"MulRF","0.2",1,"Input: Est. (100bp)",1,0.121277811229229
"DupTree","0.2",1,"Input: Est. (100bp)",1,0.0677249373868108
"A-Pro","0.2",1,"Input: Est. (100bp)",1,0.0337483929563314
"MulRF","1",1,"Input: Est. (100bp)",1,0.135376005936414
"DupTree","1",1,"Input: Est. (100bp)",1,0.096914161904715
"A-Pro","1",1,"Input: Est. (100bp)",1,0.0556010559014976
"MulRF","2",1,"Input: Est. (100bp)",1,0.144875838700682
"DupTree","2",1,"Input: Est. (100bp)",1,0.0928516036947258
"A-Pro","2",1,"Input: Est. (100bp)",1,0.0562705079186708
"MulRF","5",1,"Input: Est. (100bp)",1,0.160264629144222
"DupTree","5",1,"Input: Est. (100bp)",1,0.0813678328180686
"A-Pro","5",1,"Input: Est. (100bp)",1,0.0285654764156789
"MulRF","0",0,"Input: Est. (500bp)",1,0.153209215570241
"DupTree","0",0,"Input: Est. (500bp)",1,0.0801150242914446
"A-Pro","0",0,"Input: Est. (500bp)",1,0.0308940246142447
"MulRF","0.2",0,"Input: Est. (500bp)",1,0.121950691565871
"DupTree","0.2",0,"Input: Est. (500bp)",1,0.0702550023794174
"A-Pro","0.2",0,"Input: Est. (500bp)",1,0.0328727709967643
"MulRF","1",0,"Input: Est. (500bp)",1,0.164805148243904
"DupTree","1",0,"Input: Est. (500bp)",1,0.0858381116646342
"A-Pro","1",0,"Input: Est. (500bp)",1,0.0269584838114679
"MulRF","2",0,"Input: Est. (500bp)",1,0.135186535008252
"DupTree","2",0,"Input: Est. (500bp)",1,0.0648680285783485
"A-Pro","2",0,"Input: Est. (500bp)",1,0.0308884792402387
"MulRF","5",0,"Input: Est. (500bp)",1,0.15681459210813
"DupTree","5",0,"Input: Est. (500bp)",1,0.0778430283186026
"A-Pro","5",0,"Input: Est. (500bp)",1,0.0521142459381372
