Condition,Error,Method,InputType,K,DupRate,LossRate,ILS
n25-k1000-dup0-loss0-ils0,0.0869565217391304,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0434782608695652,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.2608695652173913,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0869565217391304,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0434782608695652,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0434782608695652,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0434782608695652,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0434782608695652,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0869565217391304,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0434782608695652,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
n25-k1000-dup0-loss0-ils0,0.0,wQFM-G-T,Input: Est. (100bp),1000,0.0,0.0,0
